#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
IV|CNIS|40.79817|14.163176|50.0|Campi Flegrei - Isola di Nisida|2022-03-14T00:00:00|
IV|COLB|40.819016|14.144606|55.9|Galleria Monte Olibano - Stazione Osservatorio Vesuviano|2011-07-06T00:00:00|
IV|COR1|43.63183|13.00033|237|Corinaldo|2011-04-12T12:12:00|
IV|CORL|37.8943|13.3038|660.0|Corleone (Palermo)|2006-04-19T18:30:00|
IV|CPGN|43.8011|12.3205|1400|Carpegna|2008-12-10T15:28:00|
IV|CPIS|40.829403|14.146811|124.6|Fumarola Pisciarelli - Stazione Osservatorio Vesuviano|2010-01-29T00:00:00|
IV|CPOZ|40.821072|14.11911|52|Darsena Pozzuoli - Stazione Osservatorio Vesuviano|2011-07-19T00:00:00|
IV|CPTP|37.4075|14.1625|561|CPTP - Pietraperzia, Italy|2011-12-20T00:00:00|
IV|CQUE|40.885339|14.155411|108.3| Quarto Est - Stazione Osservatorio Vesuviano|2023-06-28T23:00:00|
IV|CRAC|40.3814|16.435|384.0|Craco|2006-02-23T12:00:00|
IV|CRE|43.61888|11.95167|1215|CAPRESE MICHELANGELO|2003-03-01T00:00:00|
IV|CRJA|37.80162|13.00433|560.0|COSTA RAJA|2003-03-01T00:00:00|
IV|CRM1|43.210082|13.058016|302.0|Castelraimondo|2011-05-30T10:49:00|2017-07-27T01:24:00
IV|CRMI|43.795597222222|10.979505555556|490|Carmignano|2006-10-12T00:00:00|
IV|CRND|45.8361|12.0131|159.0|Cornuda|2011-11-04T17:00:00|2025-06-24T17:00:00
IV|CROCE|36.8326|14.5345|112.0|CROCE|2018-07-20T10:51:07|
IV|CRSP|42.82076|12.917122|550.0||2025-12-15T09:00:00|
IV|CRTC|43.768478|12.883011|197|Cartoceto|2019-12-19T10:00:00|
IV|CRTO|40.821151|14.422303|1206|Vesuvio - Cratere Ovest|1988-01-01T00:00:00|
IV|CRUS|40.862148|14.079901|174.9|Monte Rusciello - Stazione Osservatorio Vesuviano|2024-05-02T00:00:00|
IV|CSFT|40.829168|14.139635|150.9| Cratere Solfatara - Stazione Osservatorio Vesuviano|2013-01-31T00:00:00|
IV|CSGE1|38.2705|16.2205|480.0|Gerace|2024-03-28T19:00:00|
IV|CSLB|37.93745|14.05785|583.0|CASTELBUONO|2003-03-01T00:00:00|
